CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
;;2025;1;259392.47
;;2025;1;4593064.69
;;2025;1;206.51
;;2025;1;767733.85
;;2025;1;126.12
;;2025;1;10083833.2
;;2025;1;216403.38
;;2025;1;1018048.12
;;2025;1;4980794.67
;;2025;1;61368.96
;;2025;1;1556188.91
;;2025;1;62855.85
;;2025;1;244.0
;;2025;1;8952492.19
;;2025;1;446335.46
;;2025;1;211141.91
;;2025;1;55911.62
;;2025;1;326272.11
;;2025;1;173769.02
;;2025;1;1584.16
;;2025;1;181396.96
;;2025;1;512.09
;;2025;1;8386.82
;;2025;1;428905.04
;;2025;1;16068.37
;;2025;1;1600728.17
;;2025;1;6746.51
;;2025;1;31333.81
;;2025;1;3280404.49
;;2025;1;6525.0
;;2025;1;144197.8
;;2025;1;4320.0
;;2025;1;7745.0
;;2025;1;286083.4
;;2025;1;515.96
;;2025;1;110.25
;;2025;1;115.0
;;2025;1;22219.34
;;2025;1;495982.28
;;2025;1;230.0
;;2025;1;27663.97
;;2025;1;3513038.93
;;2025;1;579094.72
;;2025;1;211.43
;;2025;1;877716.69
;;2025;1;6.3
;;2025;1;44744.94
;;2025;1;1359251.11
;;2025;1;27057.99
;;2025;1;107334.65
;;2025;1;12850381.36
;;2025;1;110913.78
;;2025;1;5810653.48
;;2025;1;11694320.92
;;2025;1;43832.38
;;2025;1;6914009.64
;;2025;1;66856.01
;;2025;1;3030710.09
;;2025;1;5647937.15
;;2025;1;175878.25
;;2025;1;11119272.8
;;2025;1;172301.4
;;2025;1;3837758.86
